borvidek,station_id,station_name,station_lat,station_lon,distance_km
Badacsonyi,26617,Balatonederics,46.8136,17.3786,8.41
Balatonboglári,26710,Fonyód,46.7492,17.5525,14.65
Balatonfelvidéki,26617,Balatonederics,46.8136,17.3786,8.64
Balatonfüred-Csopaki,36100,Siófok,46.9108,18.0408,12.11
Bükki,52744,Miskolc Diósgyőr,48.0947,20.7267,8.37
Csongrádi,57501,Sándorfalva Tisza-part,46.4136,20.1806,9.44
Egri,53215,Eger,47.9039,20.3889,3.7
Etyek-Budai,35418,Martonvásár,47.3111,18.78,8.05
Hajós-Bajai,48101,Baja Csillagvizsgáló,46.1797,19.0106,6.3
Kunsági,46214,Fülöpháza Hattyús-szék,46.8711,19.4219,13.2
Mátrai,43715,Apc,47.7953,19.685,8.83
Móri,35222,Kincsesbánya Rákhegy,47.2817,18.2561,9.93
Nagy-Somlói,25507,Karakó,47.1197,17.2036,8.18
Neszmélyi,34234,Tata,47.6503,18.3075,1.57
Pannonhalmi,24424,Pér repülőtér (észak),47.6308,17.7956,9.83
Pécsi,38605,Pécs Árpádtető,46.1347,18.2522,12.77
Soproni,14707,Sopronhorpács,47.4806,16.7292,10.91
Szekszárdi,37725,Szekszárd Palánkpuszta,46.3819,18.7178,9.43
Tokaji,61617,Baskó,48.3333,21.3331,10.71
Tolnai,36709,Simontornya,46.7514,18.5383,16.42
Villányi,39500,Drávaszabolcs,45.7906,18.2056,11.64
Zalai,17419,Söjtör,46.6511,16.8408,7.46
