borvidek,biggest_winner_variety,winner_delta,biggest_loser_variety,loser_delta,current_suitability_loser,future_suitability_loser
Badacsonyi,Furmint,0.17847424745559692,Rizlingszilváni,-0.8741908073425293,0.9681254625320435,0.09393467009067535
Balatonboglári,Cabernet sauvignon,-0.255626916885376,Királyleányka,-0.957547664642334,0.9994182586669922,0.04187057912349701
Balatonfelvidéki,Olaszrizling,-0.5173299312591553,Rajnai rizling,-0.9471914172172546,0.9975724816322327,0.05038109049201012
Balatonfüred-Csopaki,Furmint,-0.45765572786331177,Szürkebarát,-0.9568818211555481,0.9855695366859436,0.02868771366775036
Bükki,Olaszrizling,-0.27863600850105286,Müller-Thurgau,-0.9203762412071228,0.9777858257293701,0.05740957707166672
Csongrádi,Kadarka,-0.7618750333786011,Olaszrizling,-0.9486704468727112,0.9486704468727112,0.0
Egri,Cabernet sauvignon,0.10578373074531555,Pinot noir,-0.9956120252609253,0.9956120252609253,0.0
Etyek-Budai,Olaszrizling,-0.9371132850646973,Királyleányka,-0.9999309182167053,0.9999309182167053,0.0
Hajós-Bajai,Cabernet sauvignon,-0.3881329596042633,Kékfrankos,-0.9796293377876282,0.9796293377876282,0.0
Kunsági,Kadarka,-0.6374180912971497,Olaszrizling,-0.9847645163536072,0.9847645163536072,0.0
Mátrai,Hárslevelű,0.21852684020996094,Rizlingszilváni,-0.9656843543052673,0.9656843543052673,0.0
Móri,Ezerjó,-0.18572232127189636,Rajnai rizling,-0.9206990003585815,0.9664998650550842,0.04580087214708328
Nagy-Somlói,Furmint,0.04368484020233154,Tramini,-0.9909732937812805,0.9909732937812805,0.0
Neszmélyi,Olaszrizling,-0.5805971622467041,Irsai Olivér,-0.9998443722724915,0.9998443722724915,0.0
Pannonhalmi,Olaszrizling,-0.753096342086792,Rajnai rizling,-0.9894663691520691,0.9894663691520691,0.0
Pécsi,Cabernet sauvignon,-0.22940519452095032,Pinot blanc,-0.9456813931465149,0.952331006526947,0.00664959941059351
Soproni,Cabernet sauvignon,0.20104819536209106,Zöld veltelíni,-0.8992674350738525,0.9995219111442566,0.10025447607040405
Szekszárdi,Syrah,-0.3452698290348053,Kékfrankos,-0.9764540195465088,0.9764540195465088,0.0
Tokaji,Furmint,-0.10714840888977051,Sárgamuskotály,-0.4630013406276703,0.6386145949363708,0.17561325430870056
Tolnai,Cabernet sauvignon,-0.3571247160434723,Olaszrizling,-0.9714351296424866,0.9990333914756775,0.02759825997054577
Villányi,Cabernet sauvignon,-0.2817133963108063,Kékfrankos,-0.9417665600776672,0.999518871307373,0.05775228887796402
Zalai,Olaszrizling,-0.6390971541404724,Tramini,-0.9841955304145813,0.9964980483055115,0.01230253279209137
