District,Rank,Replacement candidate,Ensemble mean,p10,p50,p90,Std
Sopron,1,Assyrtiko,0.9630166292190552,0.9069965898990631,0.9839001297950745,0.9979873836040497,0.043888092041015625
Sopron,2,Sagrantino,0.9436401724815369,0.9277784645557403,0.9806139171123505,0.9976279318332673,0.09903804212808609
Sopron,3,Tannat,0.9424250721931458,0.8997788488864898,0.9844133853912354,0.9999560654163361,0.13476932048797607
Sopron,4,Tempranillo,0.9392467737197876,0.8957198441028595,0.968896746635437,0.9961036682128906,0.06602021306753159
Tokaj,1,Sagrantino,0.9661269783973694,0.9123989164829254,0.9794296622276306,0.9981226682662964,0.03415980935096741
Tokaj,2,Assyrtiko,0.960568368434906,0.8727889001369477,0.9837197065353394,0.9994654297828675,0.05002853274345398
Tokaj,3,Tannat,0.9557355046272278,0.8682434856891632,0.9891001880168915,0.9992287516593933,0.06676389276981354
Tokaj,4,Tempranillo,0.9506949782371521,0.8792008638381958,0.9670888781547546,0.9969103395938873,0.046648476272821426
Villány,1,Touriga Nacional,0.9465128183364868,0.8641270160675049,0.9789631962776184,0.9993626534938812,0.08733759075403214
Villány,2,Garnacha,0.9284771680831909,0.8990606307983399,0.9343990087509155,0.9913596451282501,0.06982111930847168
Villány,3,Carignan,0.9284771680831909,0.8990606307983399,0.9343990087509155,0.9913596451282501,0.06982111930847168
Villány,4,Assyrtiko,0.9165853261947632,0.812341570854187,0.9608515799045563,0.9922705829143524,0.10968129336833954
Csongrád,1,Carignan,0.9214321970939636,0.7345069050788879,0.9745012819766998,0.9984434127807618,0.1260669082403183
Csongrád,2,Garnacha,0.9214321970939636,0.7345069050788879,0.9745012819766998,0.9984434127807618,0.1260669082403183
Csongrád,3,Touriga Nacional,0.8929551243782043,0.672011774778366,0.9644007384777069,0.999364560842514,0.15251758694648743
Csongrád,4,Aglianico,0.8905641436576843,0.5948240458965302,0.9745012819766998,0.9984434127807618,0.18646317720413208
